iter	Passed	Remaining
429	1764	2338
430	1769	2335
431	1773	2332
432	1777	2327
433	1781	2323
434	1785	2319
435	1790	2315
436	1794	2311
437	1798	2307
438	1802	2303
439	1806	2299
440	1811	2296
441	1815	2292
442	1819	2288
443	1824	2284
444	1828	2280
445	1832	2276
446	1837	2273
447	1841	2268
448	1845	2264
449	1849	2260
450	1853	2256
451	1858	2253
452	1862	2248
453	1866	2244
454	1871	2241
455	1875	2237
456	1879	2232
457	1883	2228
458	1887	2224
459	1892	2221
460	1895	2216
461	1900	2212
462	1904	2208
463	1908	2204
464	1912	2200
465	1916	2196
466	1920	2192
467	1924	2187
468	1928	2183
469	1933	2180
470	1937	2175
471	1941	2171
472	1946	2168
473	1950	2164
474	1954	2160
475	1958	2156
476	1963	2152
477	1967	2148
478	1971	2144
479	1977	2142
480	1981	2138
481	1986	2134
482	1990	2130
483	1995	2127
484	1999	2123
485	2004	2119
486	2008	2115
487	2012	2111
488	2016	2107
489	2021	2103
490	2025	2099
491	2029	2095
492	2033	2091
493	2038	2087
494	2042	2083
495	2046	2079
496	2051	2076
497	2056	2072
498	2059	2068
499	2063	2063
500	2068	2060
501	2072	2055
502	2076	2051
503	2080	2047
504	2084	2043
505	2088	2038
506	2092	2034
507	2096	2030
508	2100	2026
509	2104	2022
510	2108	2017
511	2112	2013
512	2117	2010
513	2121	2005
514	2125	2001
515	2129	1997
516	2133	1993
517	2137	1989
518	2141	1984
519	2145	1980
520	2149	1975
521	2153	1972
522	2157	1967
523	2161	1963
524	2166	1959
525	2170	1955
526	2174	1951
527	2178	1947
528	2182	1942
529	2186	1938
530	2190	1934
531	2194	1930
532	2198	1925
533	2202	1921
534	2206	1917
535	2210	1913
536	2214	1909
537	2218	1904
538	2222	1900
539	2226	1896
540	2229	1891
541	2234	1888
542	2238	1883
543	2242	1879
544	2246	1875
545	2249	1870
546	2253	1866
547	2257	1862
548	2261	1858
549	2265	1853
550	2269	1849
551	2273	1845
552	2277	1841
553	2282	1837
554	2285	1832
555	2289	1828
556	2294	1824
557	2298	1820
558	2302	1816
559	2306	1812
560	2310	1807
561	2314	1803
562	2318	1799
563	2322	1795
564	2327	1791
565	2331	1787
566	2335	1783
567	2339	1779
568	2343	1775
569	2348	1771
570	2351	1767
571	2356	1762
572	2360	1758
573	2364	1754
574	2368	1750
575	2372	1746
576	2376	1742
577	2380	1738
578	2385	1734
579	2390	1730
580	2394	1727
581	2398	1722
582	2402	1718
583	2406	1714
584	2410	1709
585	2414	1705
586	2418	1701
587	2423	1698
588	2428	1694
589	2432	1690
590	2436	1686
591	2440	1681
592	2444	1677
593	2448	1673
594	2452	1669
595	2458	1666
596	2462	1662
597	2466	1658
598	2470	1653
599	2475	1650
600	2479	1646
601	2483	1642
602	2487	1637
603	2491	1633
604	2495	1629
605	2500	1625
606	2504	1621
607	2509	1617
608	2513	1613
609	2518	1609
610	2522	1605
611	2526	1601
612	2530	1597
613	2535	1593
614	2539	1589
615	2543	1585
616	2547	1581
