iter	Logloss
171	0.3892849892
172	0.3891039898
173	0.3888670176
174	0.3887076655
175	0.3885218856
176	0.3884325667
177	0.3882297744
178	0.3881241605
179	0.3879872716
180	0.3878355917
181	0.3876981621
182	0.3875929148
183	0.3874608978
184	0.3873309651
185	0.3871723966
186	0.3870618334
187	0.386865677
188	0.3866460702
189	0.3864849437
190	0.386396928
191	0.3862884941
192	0.3860332811
193	0.3859408914
194	0.3857542879
195	0.3855850343
196	0.3854190293
197	0.3852760141
198	0.3851735295
199	0.3850808316
200	0.3848605361
201	0.3846889538
202	0.3845077174
203	0.3843679854
204	0.3841503728
205	0.3839899659
206	0.3838084484
207	0.3836814738
208	0.3835580792
209	0.3834556518
210	0.383385535
211	0.3831751798
212	0.3830130201
213	0.3828608388
214	0.3826876863
215	0.3825273689
216	0.382402358
217	0.3822917111
218	0.382218302
219	0.3820874153
220	0.3818830276
221	0.381744493
222	0.3816376206
223	0.3814660643
224	0.3814013063
225	0.3812576395
226	0.3811203691
227	0.3809689468
228	0.3808074116
229	0.3805890238
230	0.3805045123
231	0.3803449307
232	0.3802283222
233	0.3801053977
234	0.3800399204
235	0.3799585366
236	0.3798696328
237	0.3797631605
238	0.3795673814
239	0.3794164541
240	0.3793456598
241	0.379204352
242	0.3789911054
243	0.3788340549
244	0.3786637764
245	0.3785832263
246	0.3784983563
247	0.37838701
248	0.3782741536
249	0.3781412099
250	0.3779827795
251	0.377790387
252	0.3776854389
253	0.3774906792
254	0.377360285
255	0.3772639304
256	0.3771669507
257	0.3770871724
258	0.3769336987
259	0.3767647555
260	0.3767082626
261	0.3766067531
262	0.3764910507
263	0.3763797353
264	0.3763004831
265	0.3761036708
266	0.376039892
267	0.375936974
268	0.3758498782
269	0.3757427264
270	0.3756470307
271	0.3755620969
272	0.3754298385
273	0.375238004
274	0.3750398308
275	0.3749042265
276	0.3747119794
277	0.3745392965
278	0.3744497677
279	0.3743396854
280	0.3742329854
281	0.3740497524
282	0.3738879051
283	0.3738105954
284	0.3737114614
285	0.3736362827
286	0.3735450467
287	0.3734584081
288	0.3733349228
289	0.373243025
290	0.3731013272
291	0.3730338162
292	0.372921416
293	0.3727333008
294	0.3726353949
295	0.3724734738
296	0.3724000825
297	0.3723453253
298	0.3722077953
299	0.372099914
300	0.3718658547
301	0.3717671609
302	0.3715903742
303	0.3715060055
304	0.3713792556
305	0.3712651918
306	0.3712096177
307	0.3712014948
308	0.3711985466
309	0.371164378
310	0.3710332955
311	0.3709441222
312	0.3708602443
313	0.3707304511
314	0.3706728354
315	0.3705596589
316	0.3703898718
317	0.3702960329
318	0.3701828835
319	0.3701165586
320	0.3700424087
321	0.3699544298
322	0.3698888731
323	0.3698094381
324	0.3696898798
325	0.3695078064
326	0.3694069255
327	0.3693570737
328	0.3691688443
329	0.3690156639
330	0.3688902542
331	0.3688013451
332	0.3687086603
333	0.3686478565
334	0.3685433538
335	0.3684434991
336	0.3682863448
337	0.368195172
338	0.3680538807
339	0.3679559733
340	0.3678196821
341	0.3677014541
342	0.3675322204
343	0.3673668723
344	0.3672542474
345	0.3671528083
346	0.3670712223
347	0.3669359429
348	0.3667504892
349	0.3666242648
350	0.3664579195
351	0.3664013093
352	0.3663422699
353	0.366218508
354	0.3660380515
355	0.3658924426
356	0.3656937724
357	0.3655607115
358	0.3654177829
359	0.3653973016
360	0.3652577515
361	0.3650628389
362	0.3648296942
363	0.3646835799
364	0.3646175414
365	0.3645572531
366	0.3645336094
367	0.3643934323
368	0.3642539214
369	0.3641747002
370	0.3640418266
371	0.363944161
372	0.3638861926
373	0.3637037064
374	0.3636584675
375	0.3636020279
376	0.3634987637
377	0.3633580991
378	0.3632549241
379	0.3631160992
380	0.3630301592
381	0.3628611256
382	0.3627097117
383	0.3626038972
384	0.3624139449
385	0.3623138748
386	0.3622495903
387	0.3621686967
388	0.3620044145
389	0.3617977708
390	0.3616783348
391	0.3615055608
392	0.3613266989
393	0.3611335232
394	0.3610223229
395	0.3609453855
396	0.3608294491
397	0.3607227985
398	0.3605211544
399	0.360395893
400	0.36025524
401	0.360165235
402	0.3600730786
403	0.3599133071
404	0.3597973442
405	0.3595973978
406	0.359511771
407	0.3593954362
408	0.3592683212
409	0.3591274092
410	0.3589387302
411	0.3588747032
412	0.3587700385
413	0.358664146
414	0.3585407355
415	0.3584137771
416	0.3583007914
417	0.3581020124
418	0.3579520119
419	0.3578320635
420	0.3577552413
421	0.3576096334
422	0.3575489971
423	0.3574217536
424	0.3572868779
425	0.3572209932
426	0.3571216536
427	0.3570160491
428	0.3569072895
429	0.3567001923
430	0.3566098571
431	0.3565524931
432	0.356395692
433	0.3562788077
434	0.3561992744
435	0.3560432947
436	0.3559386933
437	0.355790773
438	0.3556623023
439	0.3555885233
440	0.3554682233
441	0.3553679212
442	0.3553153807
443	0.3552388938
444	0.3551766586
445	0.3550468537
446	0.354872036
447	0.3548202879
448	0.3546980239
449	0.3544767214
450	0.354359559
451	0.3542701529
452	0.3541436878
453	0.3539565796
454	0.3538719366
455	0.3537071656
456	0.3536315731
457	0.3535874041
458	0.3534682811
459	0.3534004663
460	0.3531938114
461	0.3530282243
462	0.3529382566
463	0.3528439682
464	0.3527045097
465	0.3525970194
466	0.3524931183
467	0.352445832
468	0.3522955609
469	0.3521682454
470	0.3520835651
471	0.3519994256
472	0.3518936114
473	0.3517365305
474	0.3515917323
475	0.3515162976
476	0.3514182384
477	0.351292357
478	0.351130564
479	0.3510301242
480	0.3509732695
481	0.3508898814
482	0.3508424593
483	0.350755915
484	0.3506391752
485	0.3506022782
486	0.3505266109
487	0.3504042576
488	0.3502610907
489	0.3501532787
490	0.3500680536
491	0.3500295368
492	0.3498702827
493	0.3498316393
494	0.3497453784
495	0.3496372493
496	0.349500923
497	0.3494698303
498	0.3493477123
499	0.3492587283
500	0.3491705614
501	0.3490913771
502	0.3490229674
503	0.3489281226
504	0.3488751124
505	0.3488232981
506	0.3487577397
507	0.3487079243
508	0.3485966316
509	0.3485253996
510	0.3483629969
511	0.3482943077
512	0.3481078144
513	0.3480184588
514	0.3479348501
515	0.3478551388
516	0.3477590963
517	0.3476160079
518	0.3475526911
519	0.3474653593
520	0.3473855569
521	0.3473295678
522	0.347233952
523	0.3471941557
524	0.3470636975
525	0.3469842144
526	0.3468112814
527	0.3467036003
528	0.3465271854
529	0.3464172317
530	0.3463391779
531	0.3463074796
532	0.3462119536
533	0.3460911936
534	0.3460273297
535	0.3459664877
536	0.3458981057
537	0.3457929675
538	0.345709367
539	0.3456004726
540	0.34552028
541	0.3454001633
542	0.3453496451
543	0.3452517606
544	0.345141509
545	0.3450802231
546	0.3449763944
547	0.3448327169
548	0.3447501121
549	0.3446573105
550	0.3446001124
551	0.3445000225
552	0.3444325516
553	0.3443383563
554	0.3442739844
555	0.3441605822
556	0.3440495859
557	0.3440109838
558	0.3438993682
559	0.3437581172
560	0.3436938243
561	0.3435206299
562	0.3434638291
563	0.34336617
564	0.3432878202
565	0.3431867649
566	0.3431224153
567	0.3430656491
568	0.3429919217
569	0.3428925625
570	0.3427223954
571	0.3426645206
572	0.3426178193
573	0.3425242254
574	0.3424181645
575	0.3423058666
576	0.3421753598
577	0.3420994747
578	0.3419888668
579	0.3419138146
580	0.3418393588
581	0.3417381111
582	0.3416519248
583	0.3415575889
584	0.341525611
585	0.3413924808
586	0.3412964163
587	0.3412087229
588	0.3411456247
589	0.3410662186
590	0.3409896777
591	0.3408928358
592	0.3408314509
593	0.3407668357
594	0.3406691228
595	0.3405811267
596	0.3404906452
597	0.3403908305
598	0.3403410024
599	0.3402554303
600	0.3401571606
601	0.3400580764
602	0.3399552475
603	0.3398513342
604	0.3397802442
605	0.3397153803
606	0.3395613683
607	0.3395103577
608	0.3393927722
609	0.33934233
610	0.3391956205
611	0.3390451349
612	0.3389559886
613	0.3388540625
614	0.3387626483
615	0.338712552
616	0.3386177824
617	0.3385290565
618	0.3384895099
619	0.3384436002
620	0.3383643913
621	0.3382936555
622	0.3382569353
623	0.3381850735
624	0.3380342692
625	0.3379485126
626	0.3378161605
627	0.3377288709
628	0.3376330782
629	0.3375083596
630	0.3374182952
631	0.3372904608
632	0.337156824
633	0.3370199134
634	0.3369727237
635	0.3368226021
636	0.3368016372
637	0.3367113031
638	0.3366675314
639	0.3365838853
640	0.3364998585
641	0.3363587695
642	0.3363113776
643	0.3362315073
644	0.3361168885
645	0.3360715708
646	0.336027427
647	0.3359592348
648	0.3358028241
649	0.3357370567
650	0.3356819273
651	0.3356026394
652	0.3355457367
653	0.3354397299
654	0.3353952636
655	0.3352060647
656	0.3351055459
657	0.3349988368
658	0.3349351723
659	0.3348519469
660	0.334742566
661	0.3346599632
662	0.3345817747
663	0.334525237
664	0.3344433311
665	0.3343586065
666	0.3341966123
667	0.3341310958
668	0.3340885539
669	0.3340140887
670	0.3339345096
671	0.3338325758
672	0.3337449179
673	0.3336201753
674	0.3335378442
675	0.3334541137
676	0.3333553694
677	0.3333021867
678	0.3332373608
679	0.333192834
680	0.3331060515
681	0.3330243495
682	0.3328870127
683	0.3327305911
684	0.3326889004
685	0.3325819337
686	0.3325032637
687	0.3323313257
688	0.3322522845
689	0.3321727099
690	0.3321237917
691	0.3320683299
692	0.3319781781
693	0.3318530974
694	0.3317673883
695	0.3315901742
696	0.3314973418
697	0.3314142788
698	0.3312668749
699	0.3311577681
700	0.3310282418
701	0.3309595011
702	0.3308886882
703	0.3307934896
704	0.3306910281
705	0.3305616262
706	0.3305324794
707	0.3304181674
708	0.3303581316
709	0.3302589721
710	0.3301516007
711	0.3300150492
712	0.3299902962
713	0.3299269918
714	0.3298381956
715	0.3297977633
716	0.329722535
717	0.3295608069
718	0.3294854336
719	0.3294446803
720	0.3293686789
721	0.3292322493
722	0.3291584705
723	0.329107932
724	0.3289639186
725	0.3288301174
726	0.328754023
727	0.3286032229
728	0.3284765112
729	0.3283755212
730	0.3283047287
731	0.3282531583
732	0.3282143337
733	0.3281453451
734	0.3280815262
735	0.3280429445
736	0.3279646989
737	0.3278490335
738	0.3277652968
739	0.3276657591
740	0.3275424282
741	0.3275027974
742	0.3274574832
743	0.3273816512
744	0.3273176206
745	0.3271972518
746	0.327088373
747	0.3270140351
748	0.3268991583
749	0.3268023468
750	0.3267710986
751	0.3266484926
752	0.3265759872
753	0.3264724285
754	0.3264571238
755	0.3264101757
756	0.3263454491
757	0.3262748252
758	0.3261659387
759	0.3260670035
760	0.3259596759
761	0.3258984155
762	0.3258016955
763	0.3257764034
764	0.3256696928
765	0.325507295
766	0.3253674589
767	0.3252511444
768	0.3251008714
769	0.325007761
770	0.3249298259
771	0.3248848654
772	0.3248129223
773	0.3246641791
774	0.3246066388
775	0.3244423021
776	0.3243112779
777	0.3242347444
778	0.3241878422
779	0.3240491019
780	0.3240156529
781	0.3239481806
782	0.3238774728
783	0.3238416375
784	0.3237741644
785	0.3236742675
786	0.3235480583
787	0.3234272561
788	0.3233111046
789	0.3231968903
790	0.3231093991
791	0.3229937642
792	0.3229209674
793	0.3227658794
794	0.3226865405
795	0.3226465073
796	0.3225144078
797	0.3224152667
798	0.3222896163
799	0.322157692
800	0.3220404161
801	0.3219431583
802	0.321821398
803	0.3217442122
804	0.3216599385
805	0.3215780372
806	0.321530958
807	0.3214400407
808	0.321334632
809	0.3212634675
810	0.3211873822
811	0.3211540993
812	0.3210923356
813	0.3209891979
814	0.3208903107
815	0.3208218485
816	0.320706477
817	0.3206311541
818	0.3204966615
819	0.3203650058
820	0.3202977634
821	0.3201603719
822	0.3200698074
823	0.3200236965
824	0.319878145
825	0.3197880817
826	0.3197284282
827	0.3196457637
828	0.3195328086
829	0.3194544669
830	0.3192998527
831	0.3192157031
832	0.3191060556
833	0.3189879231
834	0.3188498838
835	0.3187549384
836	0.3186913917
837	0.318613986
838	0.3185299709
839	0.3184355989
840	0.3183672039
841	0.3182739633
842	0.3181906229
843	0.3180757719
844	0.3180013955
845	0.3179088755
846	0.3178122509
847	0.317700807
848	0.3175843114
849	0.3174851124
850	0.317375282
851	0.3172662791
852	0.3171843909
853	0.3170585033
854	0.3170021217
855	0.3169009894
856	0.3168685432
857	0.3167734351
858	0.3167128743
859	0.3166084394
860	0.316519077
861	0.3164258205
862	0.3162727874
863	0.3161441574
864	0.316039684
865	0.3159365076
866	0.3158838684
867	0.3157997281
868	0.3156954358
869	0.315591065
870	0.3155062356
871	0.3154156152
872	0.3153108034
873	0.3152242112
874	0.3151655701
875	0.3150659885
876	0.3150259545
877	0.3149364381
878	0.3148466545
879	0.3147319654
880	0.314646489
881	0.3145563213
882	0.3144723279
883	0.3143784347
884	0.3142794295
885	0.3141862137
886	0.3140989787
887	0.3140568194
888	0.3139883341
889	0.3138561815
890	0.3137930697
891	0.3136990441
892	0.3136084583
893	0.3135796817
894	0.3135092099
895	0.3134515721
896	0.3133996855
897	0.313338854
898	0.3132723745
899	0.3131968036
900	0.313089802
901	0.3130758447
902	0.3129884621
903	0.3129648849
904	0.3128678599
905	0.3127864666
906	0.3126945627
907	0.3126496515
908	0.3125615836
909	0.3124559739
910	0.3123633672
911	0.3122657309
912	0.3122157448
913	0.3121276348
914	0.3120705413
915	0.311948563
916	0.3119199709
917	0.3118273403
918	0.3117076932
919	0.3116698757
920	0.3115925252
921	0.3114927777
922	0.3114048652
923	0.3113686006
924	0.3112862061
925	0.3112294412
926	0.3111463437
927	0.3111120973
928	0.3110471099
929	0.3109779252
930	0.3109507775
931	0.3108926205
932	0.3107454684
933	0.3106627933
934	0.3105752018
935	0.3105127907
936	0.3104112732
937	0.3103589579
938	0.3102918079
939	0.3102039133
940	0.3101450728
941	0.3100619037
942	0.3099593886
943	0.309900332
944	0.3098271975
945	0.309737976
946	0.3096579036
947	0.3095894539
948	0.3095710294
949	0.3094915734
950	0.3094256785
951	0.3093632972
952	0.3092838833
953	0.3092203711
954	0.3091376201
955	0.3090663082
956	0.3089967325
957	0.3088496297
958	0.3087205465
959	0.308628026
960	0.3085546684
961	0.3085312876
962	0.3084541643
963	0.3083597134
964	0.3082740821
965	0.3082219592
966	0.3080874272
967	0.3079739602
968	0.3078823036
969	0.3077960398
970	0.307711328
971	0.307653455
972	0.3075315051
973	0.3074374074
974	0.30738072
975	0.3073279206
976	0.3072579168
977	0.3071418722
978	0.3070263954
979	0.3069345684
980	0.3067704625
981	0.3066834172
982	0.3066355041
983	0.3065803704
984	0.3064951232
985	0.3064287436
986	0.306358904
987	0.3063072255
988	0.3062804665
989	0.3062100965
990	0.3061523803
991	0.3060659011
992	0.3060053248
993	0.3059440869
994	0.3058625179
995	0.3058003298
996	0.3057510491
997	0.3056404136
998	0.3055778937
999	0.3055259867
